method,cv_mean_ic,cv_ic_std,worst_fold
cluster_eq,0.021553560897750238,0.026470241906898253,-0.012646329673975646
cluster_eb,0.021553560897750238,0.026470241906898253,-0.012646329673975646
eb_weight,0.02097133326025063,0.03236941590442091,-0.019342727372973365
naive_averaged,0.020839077038962858,0.03245076080331349,-0.019378688752806125
cluster_eq_tuned,0.020814309949255577,0.02755076214440387,-0.014166481833736038
cluster_ic_tuned,0.018433392308331194,0.025146745908068358,-0.014443189494719452
pca_pc1,0.018337859439441082,0.03327093383493512,-0.021713232019335012
ic_weight,0.017323603675167047,0.02927539198936567,-0.020505718632786853
pls_tuned,0.01333186109718224,0.023811534021034392,-0.01938770956357763
uniqueness_reg,0.01320659267922275,0.02510163280319402,-0.020106856046273307
uniqueness_tuned,0.009145881715437123,0.021269873193321062,-0.020324780057659957
ridge_tuned,0.009017305422131788,0.021689521049801586,-0.02062778612451738
